entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,vol_prob,breakout_prob,predicted_atr,bars_held,exit_reason
2023-08-23 13:00:00+00:00,2023-08-23 13:30:00+00:00,LONG,1,4406.25,4416.052959416509,490.14797082545556,2.58,12.5,475.0679708254556,0.5375817655386329,0.7898976084547153,4.570253330610453,6,tp
2023-08-23 13:15:00+00:00,2023-08-23 13:45:00+00:00,LONG,1,4408.5,4418.614371133651,505.718556682541,2.58,12.5,490.63855668254104,0.6877880152509006,0.821999613848602,4.680412789137023,6,tp
2023-08-23 13:20:00+00:00,2023-08-23 13:45:00+00:00,LONG,1,4409.25,4418.730867693769,474.0433846884571,2.58,12.5,458.9633846884571,0.6317031586594989,0.7741528159667026,4.436372821464058,5,tp
2023-08-23 13:25:00+00:00,2023-08-23 13:55:00+00:00,LONG,1,4410.5,4422.01413246972,575.7066234859849,2.58,12.5,560.6266234859849,0.858068859508909,0.822624306823742,5.3273806153097745,6,tp
2023-08-23 13:30:00+00:00,2023-08-23 13:55:00+00:00,LONG,1,4412.5,4423.812943427436,565.647171371802,2.58,12.5,550.5671713718019,0.8753562861594264,0.7842907172389706,5.281127810451998,5,tp
2023-08-23 13:35:00+00:00,2023-08-23 14:00:00+00:00,LONG,1,4412.25,4425.216220361802,648.3110180900894,2.58,12.5,633.2310180900894,0.8850356368791272,0.7433811078278797,6.111268364692893,5,tp
2023-08-23 13:40:00+00:00,2023-08-23 14:05:00+00:00,LONG,1,4414.5,4427.087900815729,629.3950407864486,2.58,12.5,614.3150407864485,0.9168735331122746,0.8637108440698653,5.769356066677004,5,tp
2023-08-23 13:45:00+00:00,2023-08-23 14:40:00+00:00,LONG,1,4417.0,4430.02292999154,651.1464995769984,2.58,12.5,636.0664995769984,0.8954072545124819,0.8689912851920025,5.961527108410359,11,tp
2023-08-23 13:50:00+00:00,2023-08-23 14:10:00+00:00,LONG,1,4415.75,4428.965422917254,660.7711458626909,2.58,12.5,645.6911458626909,0.7321114396664686,0.7998213329532722,6.146963742875812,4,tp
2023-08-23 14:00:00+00:00,2023-08-23 15:10:00+00:00,LONG,1,4424.5,4437.659510068445,657.9755034222671,2.58,12.5,642.8955034222671,0.6700465172690889,0.8984207859778608,5.983743124531329,9,tp
2023-08-23 14:05:00+00:00,2023-08-23 15:10:00+00:00,LONG,1,4427.0,4438.44083582395,572.0417911974891,2.58,12.5,556.9617911974891,0.5949578035679569,0.8983781178232383,5.202297536716367,8,tp
2023-08-23 14:10:00+00:00,2023-08-23 14:20:00+00:00,LONG,1,4428.75,4423.456901630361,-264.6549184819378,2.58,12.5,-279.73491848193777,0.5197104953337979,0.8906486965111292,5.293098369638632,2,sl
2023-08-23 14:20:00+00:00,2023-08-23 15:20:00+00:00,LONG,1,4428.25,4438.80304898076,527.652449037987,2.58,12.5,512.572449037987,0.6661013728045437,0.8386774995239059,4.864638582571747,7,tp
2023-08-23 14:25:00+00:00,2023-08-23 15:10:00+00:00,LONG,1,4427.0,4438.04480256768,552.2401283839827,2.58,12.5,537.1601283839826,0.6289730003727152,0.7217219724900162,5.232368516757173,4,tp
2023-08-23 14:30:00+00:00,2023-08-23 15:20:00+00:00,LONG,1,4428.75,4440.064005660478,565.700283023898,2.58,12.5,550.620283023898,0.7588824206061292,0.8464634306580452,5.206074244487562,5,tp
2023-08-23 14:35:00+00:00,2023-08-23 15:10:00+00:00,LONG,1,4426.0,4437.562892934797,578.1446467398382,2.58,12.5,563.0646467398382,0.6258086558320274,0.6936477363821801,5.514479833144933,2,tp
2023-08-23 15:10:00+00:00,2023-08-24 11:10:00+00:00,LONG,1,4438.0,4449.599547299337,579.9773649668623,2.58,12.5,564.8973649668623,0.72105643032473,0.8787454994854812,5.298114403177978,10,tp
2023-08-23 15:15:00+00:00,2023-08-24 11:10:00+00:00,LONG,1,4437.75,4449.039596397775,564.4798198887656,2.58,12.5,549.3998198887656,0.7164254185152393,0.8543247688224902,5.185463646905785,9,tp
2023-08-23 15:20:00+00:00,2023-08-24 11:10:00+00:00,LONG,1,4438.75,4450.3610822225855,580.5541111292769,2.58,12.5,565.4741111292768,0.7514184843756955,0.8563709124735791,5.330621499349054,8,tp
2023-08-23 15:25:00+00:00,2023-08-24 11:10:00+00:00,LONG,1,4439.75,4450.571618349568,541.0809174783935,2.58,12.5,526.0009174783935,0.941204367184544,0.8504808442778242,4.974906791648703,7,tp
