fold,entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,signal_prob,bet_size,bars_held
47,2024-08-30 18:10:00+00:00,2024-08-30 19:10:00+00:00,LONG,1,5618.0,5628.75,537.5,5.0,12.5,520.0,0.5625324411943686,0.39210235418310485,12
47,2024-08-30 18:15:00+00:00,2024-08-30 19:15:00+00:00,LONG,1,5619.0,5631.25,612.5,5.0,12.5,595.0,0.5425045784932447,0.20402192655034096,12
47,2024-08-30 18:40:00+00:00,2024-08-30 19:40:00+00:00,LONG,1,5625.5,5639.5,700.0,5.0,12.5,682.5,0.5016791797700458,0.493312780049051,12
47,2024-09-02 15:25:00+00:00,2024-09-02 16:25:00+00:00,LONG,1,5661.75,5662.25,25.0,5.0,12.5,7.5,0.5123421221318,0.3401638745002308,12
47,2024-09-02 15:30:00+00:00,2024-09-02 16:30:00+00:00,LONG,1,5662.25,5663.25,50.0,5.0,12.5,32.5,0.5063394288110377,0.5836647862467496,12
47,2024-09-02 15:55:00+00:00,2024-09-02 16:55:00+00:00,LONG,2,5664.25,5665.0,75.0,10.0,25.0,40.0,0.5115702498857378,0.6808821026430354,12
47,2024-09-02 16:05:00+00:00,2024-09-03 13:35:00+00:00,LONG,1,5663.75,5618.0,-2287.5,5.0,12.5,-2305.0,0.5343142532869458,0.6335938661927019,12
47,2024-09-02 16:10:00+00:00,2024-09-03 13:40:00+00:00,LONG,1,5664.75,5618.75,-2300.0,5.0,12.5,-2317.5,0.5332705003690579,0.5112234019322942,12
47,2024-09-02 16:40:00+00:00,2024-09-03 14:10:00+00:00,LONG,1,5664.25,5587.0,-3862.5,5.0,12.5,-3880.0,0.5092600061279626,0.5181469783899424,12
47,2024-09-03 17:55:00+00:00,2024-09-03 18:55:00+00:00,LONG,1,5564.75,5548.25,-825.0,5.0,12.5,-842.5,0.5075773980736109,0.4889910438152762,12
48,2024-09-05 15:40:00+00:00,2024-09-05 16:40:00+00:00,LONG,1,5498.25,5507.0,437.5,5.0,12.5,420.0,0.5385234603993055,0.6386245191395691,12
48,2024-09-05 15:45:00+00:00,2024-09-05 16:45:00+00:00,LONG,1,5499.5,5504.25,237.5,5.0,12.5,220.0,0.540353668429251,0.6269332331476727,12
48,2024-09-05 15:50:00+00:00,2024-09-05 16:50:00+00:00,LONG,1,5496.75,5503.75,350.0,5.0,12.5,332.5,0.540353668429251,0.5910565033788093,12
48,2024-09-05 16:00:00+00:00,2024-09-05 17:00:00+00:00,LONG,1,5499.5,5505.5,300.0,5.0,12.5,282.5,0.5508228452007286,0.6046134956127749,12
48,2024-09-05 16:05:00+00:00,2024-09-05 17:05:00+00:00,LONG,1,5502.25,5502.5,12.5,5.0,12.5,-5.0,0.513404393619216,0.517178531927714,12
48,2024-09-05 16:25:00+00:00,2024-09-05 17:25:00+00:00,LONG,1,5504.75,5497.5,-362.5,5.0,12.5,-380.0,0.5556392614034759,0.659999789022412,12
48,2024-09-05 16:35:00+00:00,2024-09-05 17:35:00+00:00,LONG,1,5503.0,5507.5,225.0,5.0,12.5,207.5,0.5659605493646986,0.6289761545523468,12
48,2024-09-05 16:40:00+00:00,2024-09-05 17:40:00+00:00,LONG,2,5507.0,5517.25,1025.0,10.0,25.0,990.0,0.5584876460601309,0.7013763928823009,12
48,2024-09-05 16:45:00+00:00,2024-09-05 17:45:00+00:00,LONG,2,5504.25,5523.25,1900.0,10.0,25.0,1865.0,0.503163724371741,0.67290899102348,12
48,2024-09-05 16:50:00+00:00,2024-09-05 17:50:00+00:00,LONG,1,5503.75,5520.5,837.5,5.0,12.5,820.0,0.5248657688456476,0.6518647912793762,12
48,2024-09-05 17:50:00+00:00,2024-09-05 18:50:00+00:00,LONG,1,5520.5,5525.75,262.5,5.0,12.5,245.0,0.5746674573550374,0.34173603044756484,12
48,2024-09-05 17:55:00+00:00,2024-09-05 18:55:00+00:00,LONG,1,5526.25,5521.0,-262.5,5.0,12.5,-280.0,0.5178365748911083,0.40847978123836776,12
48,2024-09-05 18:00:00+00:00,2024-09-05 19:00:00+00:00,LONG,1,5524.25,5519.75,-225.0,5.0,12.5,-242.5,0.5443617610855773,0.4604579832220224,12
48,2024-09-05 18:05:00+00:00,2024-09-05 19:05:00+00:00,LONG,1,5524.5,5518.0,-325.0,5.0,12.5,-342.5,0.5141973579572037,0.34598435440938097,12
48,2024-09-05 18:10:00+00:00,2024-09-05 19:10:00+00:00,LONG,1,5522.25,5514.25,-400.0,5.0,12.5,-417.5,0.5087505989208441,0.36861947406073636,12
48,2024-09-05 18:15:00+00:00,2024-09-05 19:15:00+00:00,LONG,1,5525.25,5506.0,-962.5,5.0,12.5,-980.0,0.5205360968357188,0.3703912970093954,12
48,2024-09-05 18:20:00+00:00,2024-09-05 19:20:00+00:00,LONG,1,5522.25,5508.75,-675.0,5.0,12.5,-692.5,0.5255168365145209,0.48603214501340564,12
48,2024-09-05 18:25:00+00:00,2024-09-05 19:25:00+00:00,LONG,1,5519.75,5512.5,-362.5,5.0,12.5,-380.0,0.5643200059724992,0.5411845401302777,12
48,2024-09-05 18:30:00+00:00,2024-09-05 19:30:00+00:00,LONG,1,5522.5,5521.75,-37.5,5.0,12.5,-55.0,0.6028883238483969,0.6396781232012662,12
48,2024-09-05 18:35:00+00:00,2024-09-05 19:35:00+00:00,LONG,1,5523.5,5513.5,-500.0,5.0,12.5,-517.5,0.572048915882485,0.47555741509843213,12
48,2024-09-05 18:40:00+00:00,2024-09-05 19:40:00+00:00,LONG,2,5522.75,5505.5,-1725.0,10.0,25.0,-1760.0,0.6301637444007709,0.8763303974073341,12
48,2024-09-05 18:45:00+00:00,2024-09-05 19:45:00+00:00,LONG,1,5526.25,5508.5,-887.5,5.0,12.5,-905.0,0.5610405901697716,0.5324456569122192,12
48,2024-09-05 18:50:00+00:00,2024-09-05 19:50:00+00:00,LONG,1,5525.75,5506.25,-975.0,5.0,12.5,-992.5,0.5608219066684458,0.5370162731508142,12
48,2024-09-05 18:55:00+00:00,2024-09-05 19:55:00+00:00,LONG,1,5521.0,5515.0,-300.0,5.0,12.5,-317.5,0.5129144440121155,0.4172209334624913,12
48,2024-09-06 14:00:00+00:00,2024-09-06 15:00:00+00:00,LONG,1,5493.25,5451.5,-2087.5,5.0,12.5,-2105.0,0.5002873431831953,0.5282920646763816,12
48,2024-09-09 19:35:00+00:00,2024-09-10 14:05:00+00:00,LONG,2,5472.25,5492.75,2050.0,10.0,25.0,2015.0,0.5555749734393948,0.6943018517992522,12
49,2024-09-12 17:40:00+00:00,2024-09-12 18:40:00+00:00,LONG,1,5597.5,5604.5,350.0,5.0,12.5,332.5,0.5121711957842825,0.24699053856983533,12
49,2024-09-12 18:20:00+00:00,2024-09-12 19:20:00+00:00,LONG,2,5603.75,5600.0,-375.0,10.0,25.0,-410.0,0.5000535983247386,0.7347107613533839,12
